timestamp,city,temperature,description
2025-12-08T13:01:36.106Z,Ararangua,28.9,scattered clouds
2025-12-08T14:08:51.920Z,Ararangua,29.41,few clouds
2025-12-08T14:09:09.088Z,Ararangua,29.41,few clouds
2025-12-08T15:58:21.849Z,Ararangua,29.35,scattered clouds
2025-12-09T09:56:07.664Z,Ararangua,21.74,moderate rain
2025-12-09T10:17:10.492Z,Ararangua,21.86,light rain
2025-12-09T12:29:45.903Z,Ararangua,20.87,moderate rain
2025-12-09T12:31:22.415Z,Ararangua,20.87,moderate rain
2025-12-09T12:59:29.341Z,Ararangua,20.92,moderate rain
2025-12-09T14:30:30.042Z,Ararangua,19.31,light rain
2025-12-09T16:35:56.106Z,Ararangua,21.22,light rain
2025-12-09T18:37:01.617Z,Ararangua,22.13,overcast clouds
2025-12-09T20:28:03.121Z,Ararangua,23.59,overcast clouds
2025-12-09T22:26:11.324Z,Ararangua,23.77,overcast clouds
2025-12-10T02:08:43.533Z,Ararangua,21.76,broken clouds
2025-12-10T04:38:24.286Z,Ararangua,21.17,broken clouds
2025-12-10T06:42:55.374Z,Ararangua,21.35,overcast clouds
2025-12-10T08:37:51.713Z,Ararangua,21.24,overcast clouds
2025-12-10T10:33:13.577Z,Ararangua,25.74,overcast clouds
2025-12-10T12:59:32.292Z,Ararangua,31.35,broken clouds
2025-12-10T14:30:40.226Z,Ararangua,28.71,light rain
2025-12-10T16:36:52.056Z,Ararangua,28.1,moderate rain
2025-12-10T18:39:50.473Z,Ararangua,24.54,overcast clouds
2025-12-10T20:33:08.368Z,Ararangua,23.61,light rain
2025-12-10T22:27:13.391Z,Ararangua,23.35,overcast clouds
2025-12-11T02:10:20.139Z,Ararangua,21.41,overcast clouds
2025-12-11T04:39:57.312Z,Ararangua,20.21,broken clouds
2025-12-11T06:44:25.206Z,Ararangua,20.92,overcast clouds
2025-12-11T08:38:20.426Z,Ararangua,20.53,broken clouds
2025-12-11T10:33:17.818Z,Ararangua,23.37,scattered clouds
2025-12-11T13:00:50.494Z,Ararangua,25.73,clear sky
2025-12-11T14:28:46.467Z,Ararangua,27.46,clear sky
2025-12-11T16:39:47.099Z,Ararangua,30.27,clear sky
2025-12-11T18:40:17.838Z,Ararangua,33.37,clear sky
2025-12-11T20:31:06.281Z,Ararangua,32.17,clear sky
2025-12-11T22:27:31.430Z,Ararangua,26.64,clear sky
2025-12-12T02:10:13.900Z,Ararangua,23.37,clear sky
2025-12-12T04:38:33.852Z,Ararangua,21.83,clear sky
2025-12-12T06:43:15.193Z,Ararangua,21.63,scattered clouds
2025-12-12T08:38:31.450Z,Ararangua,21.9,few clouds
2025-12-12T10:32:00.269Z,Ararangua,25.55,few clouds
2025-12-12T12:57:59.727Z,Ararangua,29.34,overcast clouds
2025-12-12T14:25:50.017Z,Ararangua,29.82,broken clouds
2025-12-12T16:34:55.385Z,Ararangua,27.11,overcast clouds
2025-12-12T18:40:35.528Z,Ararangua,26.8,overcast clouds
2025-12-12T20:30:52.923Z,Ararangua,26.19,overcast clouds
2025-12-12T22:26:56.933Z,Ararangua,25.29,overcast clouds
2025-12-13T02:03:12.617Z,Ararangua,25.13,overcast clouds
2025-12-13T04:32:31.997Z,Ararangua,24.23,broken clouds
2025-12-13T06:39:05.525Z,Ararangua,23.6,overcast clouds
2025-12-13T08:33:20.623Z,Ararangua,23.58,scattered clouds
2025-12-13T10:26:54.151Z,Ararangua,24.54,scattered clouds
2025-12-13T12:52:28.546Z,Ararangua,28.03,clear sky
2025-12-13T14:24:22.636Z,Ararangua,29.33,clear sky
2025-12-13T16:32:25.708Z,Ararangua,29.2,clear sky
2025-12-13T18:34:55.862Z,Ararangua,30.17,few clouds
2025-12-13T20:28:26.247Z,Ararangua,30.12,clear sky
2025-12-13T22:25:31.958Z,Ararangua,26.27,clear sky
2025-12-14T02:22:34.138Z,Ararangua,23.19,clear sky
2025-12-14T04:40:29.249Z,Ararangua,22.74,clear sky
2025-12-14T06:38:51.978Z,Ararangua,23.36,few clouds
2025-12-14T08:33:59.343Z,Ararangua,23.53,few clouds
2025-12-14T10:27:26.746Z,Ararangua,24.83,clear sky
2025-12-14T12:52:46.463Z,Ararangua,29.36,few clouds
2025-12-14T14:24:30.005Z,Ararangua,30.11,clear sky
2025-12-14T16:32:03.757Z,Ararangua,29.63,clear sky
2025-12-14T18:36:44.293Z,Ararangua,28.45,clear sky
2025-12-14T20:29:21.949Z,Ararangua,28.06,clear sky
2025-12-14T22:25:00.741Z,Ararangua,25.7,clear sky
2025-12-15T02:19:46.929Z,Ararangua,23.48,clear sky
2025-12-15T04:47:38.248Z,Ararangua,21.91,few clouds
2025-12-15T06:46:20.188Z,Ararangua,21.72,scattered clouds
2025-12-15T08:41:22.938Z,Ararangua,24.55,scattered clouds
2025-12-15T10:35:18.632Z,Ararangua,28.29,few clouds
2025-12-15T13:01:37.610Z,Ararangua,31.52,overcast clouds
2025-12-15T14:34:23.315Z,Ararangua,32.82,broken clouds
2025-12-15T16:40:30.370Z,Ararangua,33.76,broken clouds
2025-12-15T18:41:32.468Z,Ararangua,31.15,broken clouds
2025-12-15T20:32:33.781Z,Ararangua,26.81,broken clouds
2025-12-15T22:27:57.131Z,Ararangua,25.52,broken clouds
2025-12-16T02:10:56.331Z,Ararangua,23.76,overcast clouds
2025-12-16T04:40:10.241Z,Ararangua,22.91,overcast clouds
